(asenv) altsai@Hercules:~/eden/edenTransfer$ python store_fits.py --dryrun /home/altsai/eden/LOT20191007_mod/ | tee LOT20191007_dryrun.log

Bucket successfully loaded! eden-data
434 files found
Storing data to the S3 archive!
Doing a dry run - uploads will not be committed.
Verbose output enabled.
Skipping /home/altsai/eden/LOT20191007_mod/20191007-001d5s.fits -> s3://eden-data/Calibrations/LOT/DARK/2019-10-07/20191007-001d5s.fits (file already exists) (1/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-001eden5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-001eden5s.fits (file already exists) (2/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-001i5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-001i5s.fits (file already exists) (3/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-001r5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-001r5s.fits (file already exists) (4/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-001v5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-001v5s.fits (file already exists) (5/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-002d5s.fits -> s3://eden-data/Calibrations/LOT/DARK/2019-10-07/20191007-002d5s.fits (file already exists) (6/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-002eden5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-002eden5s.fits (file already exists) (7/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-002i5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-002i5s.fits (file already exists) (8/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-002r5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-002r5s.fits (file already exists) (9/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-002v5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-002v5s.fits (file already exists) (10/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-003d5s.fits -> s3://eden-data/Calibrations/LOT/DARK/2019-10-07/20191007-003d5s.fits (file already exists) (11/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-003eden5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-003eden5s.fits (file already exists) (12/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-003i5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-003i5s.fits (file already exists) (13/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-003r5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-003r5s.fits (file already exists) (14/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-003v5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-003v5s.fits (file already exists) (15/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-004d5s.fits -> s3://eden-data/Calibrations/LOT/DARK/2019-10-07/20191007-004d5s.fits (file already exists) (16/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-004eden5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-004eden5s.fits (file already exists) (17/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-004i5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-004i5s.fits (file already exists) (18/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-004r5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-004r5s.fits (file already exists) (19/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-004v5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-004v5s.fits (file already exists) (20/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-005d5s.fits -> s3://eden-data/Calibrations/LOT/DARK/2019-10-07/20191007-005d5s.fits (file already exists) (21/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-005eden5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-005eden5s.fits (file already exists) (22/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-005i5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-005i5s.fits (file already exists) (23/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-005r5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-005r5s.fits (file already exists) (24/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-005v5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-005v5s.fits (file already exists) (25/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-006d5s.fits -> s3://eden-data/Calibrations/LOT/DARK/2019-10-07/20191007-006d5s.fits (file already exists) (26/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-006eden5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-006eden5s.fits (file already exists) (27/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-006r5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-006r5s.fits (file already exists) (28/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-006v5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-006v5s.fits (file already exists) (29/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-007d5s.fits -> s3://eden-data/Calibrations/LOT/DARK/2019-10-07/20191007-007d5s.fits (file already exists) (30/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-007eden5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-007eden5s.fits (file already exists) (31/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-007v5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-007v5s.fits (file already exists) (32/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-008d5s.fits -> s3://eden-data/Calibrations/LOT/DARK/2019-10-07/20191007-008d5s.fits (file already exists) (33/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-008eden5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-008eden5s.fits (file already exists) (34/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-008v5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-008v5s.fits (file already exists) (35/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-009d5s.fits -> s3://eden-data/Calibrations/LOT/DARK/2019-10-07/20191007-009d5s.fits (file already exists) (36/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-009eden5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-009eden5s.fits (file already exists) (37/434) (dry run)
Skipping /home/altsai/eden/LOT20191007_mod/20191007-009v5s.fits -> s3://eden-data/Calibrations/LOT/FLAT/2019-10-07/20191007-009v5s.fits (file already exists) (38/434) (dry run)
