Timestamp	Select your telescope:	Enter the local *start of night* date:	Please briefly summarize your night:	Select the name of the first target:	For how long did you observe the first target?	Select the name of the second target:	For how long did you observe the second target?
2019/10/23 03:28:43 PM	Bok	2019/10/17	 observed one target for three hours then closed due to humidity	LSPM J0419+4233	2:40:00		
2019/10/24 10:56:17 AM	Bok	2019/10/18	observed one target from 10pm until dawn	none	3:00:00	LSPM J0419+4233	7:10:00
2019/10/24 10:57:13 AM	Bok	2019/10/19	observed one target from 10pm until close	none	3:00:00	LSPM J0419+4233	7:00:00
2019/10/24 10:57:49 AM	Bok	2019/10/20	observed one target from 10pm until close	none	3:00:00	LSPM J0419+4233	7:00:00
2019/10/24 10:58:10 AM	Bok	2019/10/21	observed one target from 11pm until close	none	4:00:00	LSPM J0419+4233	6:00:00
2019/10/24 10:17:52 AM	Phillips	2019/10/23	Good weather, no problems. Observed one target once it reached observable altitude in the GG495 filter.	LSPM J0419+4233	7:00:00		
2019/10/25 09:02:07 AM	Phillips	2019/10/24	Good Weather. Observed TESS and EDEN target. Delay during target switching due to software error.	TIC 408203470	4:30:00	LSPM J0419+4233	4:00:00
2019/10/26 09:54:10 AM	Phillips	2019/10/25	Phillips became usable after 10pm local time. Clear skies. Observed TESS and EDEN target. No problems	TIC 408203452	3:00:00	LSPM J0124+6819	4:00:00
2019/10/26 11:06:40 PM	Calar Alto	2019/10/26	LSPM J0124+6819; Excellent conditions all night.	LSPM J0124+6819	11:30:00		
2019/10/26 11:07:16 PM	Calar Alto	2019/10/26	observed LSPM J0124+6819 all night under good conditions	LSPM J0124+6819	11:30:00		
2019/10/27 05:15:36 PM	Phillips	2019/10/26	Clear skies. The Phillips apparently froze in he middle of the night for about 6 hours and no images were taken in that window until I restarted the script.	TIC 408203452	2:00:00	LSPM J0124+6819	3:30:00
2019/10/27 05:17:06 PM	Schulman	2019/10/26	Clear skies, no problems.	LSPM J0124+6819	8:00:00		
2019/10/27 08:45:44 PM	Bok	2019/10/27	observed LSPM J0124+6819 for most of the night but closed a bit early due to wind	LSPM J0124+6819	9:00:00		
2019/10/28 12:50:15 AM	Bok	2019/10/27	did not open due to wind and clouds				
2019/10/28 02:24:49 AM	Calar Alto	2019/10/27	observed one target for 9 hours then closed due to clouds	LSPM J0124+6819	9:00:00		
